Term;Location of Origin;Targeted Demographic;Meaning Origin and Notes;References;Meaning, origin and notes
Left-footer;United Kingdom;Roman Catholics;An informal phrase for a Roman Catholic particularly amongst the armed forces in the UK.;;
Fenian;United Kingdom;Roman Catholics;a term which was originally used to refer to the Fenian Brotherhood and the Irish Republican Brotherhood, organizations which supported a united Ireland. Today the term is used as a sectarian slur by Protestants, especially in Northern Ireland, Scotland and Australia.;;
Mackerel Snapper;North America;Roman Catholics;The term originated in the U.S. in the 1850s and refers to the custom of Friday abstinence. The Friday abstinence from meat (red meat and poultry) distinguishes Catholics from other Christians, especially in North America.;;
Mick;United Kingdom;Irish Catholic;"Usually an Irish Catholic (a reference to the common ""Mc'"" patronymic of Irish surnames, or a hypocorism of Michael).";;
Papist;Northern Ireland;Roman Catholic;Usually Irish Catholic.;;
Red letter tribe;North America;Roman Catholics;A name given to Catholics for their keeping so many holy days marked in their almanacks with red letters.;;
Redneck;Ireland;Roman Catholics;Roman Catholic person, nowadays somewhat dated.;;
Roman Catholic;England;Roman Catholics;Term brought into use by adherents of the Church of England in regard to Branch Theory as well as distaste to the Catholic Church’s association with the term Catholic.;;
Shaveling;Earth;Roman Catholics;Usually disparaging: a tonsured clergyman, priest.;;
Taig;Northern Ireland;Roman Catholics;"From tadhg, Irish for ""Timothy"".";;
Cow piss drinker, piss drinker;Western countries;Local Hindu people;Referring to the practice of drinking gomutra, or cow urine, as a folk medicine advocated by some Hindu groups.;;
Dothead;Western countries;Local Hindu people, especially women;Referring to the practice of applying bindis, a dot-like marking used by married women. Also the namesake of a terrorist group from New Jersey that murdered Indians known as the Dotbusters.;;
Malaun;Bangladesh;Local Hindu people;"""Malaun"" is derived from Bengali মালাউন (maalaaun), which in turn was derived from Arabic ""ملعون"" (mal'un), which means ""cursed"" or deprived from God's mercy.";;
Abbie;North America;Jewish male;;;A Jewish male. From the proper name Abraham. Originated before the 1950s.
Heeb;United States;Jews;;;"Derived from the word ""Hebrew""."
Hymie;United States;Jews;;;"Derived from the Hebrew Chaim (""life""). Also used in the term Hymietown, a nickname for Brooklyn, New York, and as a first name."
Ikey;United States;Jews;;;"Derived from the word ""Isaac""."
Itzig;Nazi Germany;Jews;;;From Yiddish איציק‎ (itsik), a variant or pet form of the name Isaak. The Nazis before World War 2 (but after they took power in 1933-1934) started persecution and imprisonment of Jews before escalating to genocide, resulting in the Holocaust.
Jewboy;United States;Young Jewish boy;;;For a young Jewish male, originally young Jewish boys who sold counterfeit coins in 18th century London.
Kike;United States;Jews;;;"From the Yiddish word for ""circle"" is kikel, illiterate Jews who entered the United States at Ellis Island signed their names with a circle instead of a cross because they associated the cross with Christianity."
Mocky;United States;Jews;;;"First used in the 1930s, possibly from the Yiddish word makeh meaning ""plague""."
Moch;United States;Jews;;;A Jew, first used in the 1960s, as an abbreviated form of mocky (q.v.).
Red Sea pedestrian;Australia;Jews;;;A Jew, from the story of Moses leading the Jewish people out of Egypt.
Sheeny;Europe;Jews;;;From Yiddish sheyn or German schön meaning 'beautiful'.
Shylock;England;Jews;;;"Jewish people as shrewd and money-loving; named after the famous character from Shakespeare's play ""Merchant of Venice""."
Yakubian;North America;Jews;;;"Jewish people; it is often mistaken as describing white people, as the Nation of Islam believes all white people are descended from Yakub, the biblical Jacob. Therefore, white people and Jewish people are considered one and the same."
Yid;Europe;Jews;;;Yiddish word for Jew.
Zhyd;Russia;Jews;;;From Russian and other Slavic languages, originally neutral, but became pejorative during debate over the Jewish question in the 1800s. Its use was banned by the Soviet authorities in the 1930s.
Mormon;United Kingdom;Latter Day Saint;"Term for a member of The Church of Jesus Christ of Latter-day Saints (LDS Church) which was coined by early opposition and put into use by newspapers in Missouri and Illinois who didn't want to refer to the Latter-day Saints as Christians or Saints, and so used a word from one of their books of scripture, the Book of Mormon. Early leaders spoke out against this use of the term due to revelation given about the church's name, but because of broad use in the press and by locals who opposed the church, it remained in colloquial use. To this day, many refer to the LDS Church as the ""Mormon Church,"" though leaders have been asking to be referred to by their proper name since 1838. However, the term ""Mormon"" has been used in the church's television advertising to refer to its members. There has been a renewed effort starting in 2018 to avoid the use of the term. There is some disagreement within the LDS Church if the term is offensive, or just less preferred. Some style guides consider ""Mormon"" to be the appropriate term in many historical (Mormon pioneers, Mormon Battalion, Mormon Trail) and demographic contexts, as Mormons are not exclusively members of the LDS Church. There are other denominations in which the term is not offensive and may be preferred. (List of denominations in the Latter Day Saint movement)";;
Molly Mormon;United Kingdom;Latter Day Saint;"Term for the stereotype of a ""perfect"" female member of LDS Church.";;
